flag_name,flag_id,map_name,map_area_name,map_override_name,set_or_used,asset_path
ScenarioFlag1,17,Map_20010,Tule,,Set,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_e_0018
ScenarioFlag1,17,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_e_0018
ScenarioFlag1,17,Map_20011_4,Tule - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_4/sc_map_20011_4
ScenarioFlag1,18,Map_30471_4,Island Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30471/Map_30471_4/sc_e_0305
ScenarioFlag1,18,Map_30471_4,Island Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30471/Map_30471_4/sc_e_0305_1
ScenarioFlag1,19,Map_20011_4,Tule - Pub 2F,,Set,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_4/sc_e_0020
ScenarioFlag1,19,Map_20011_4,Tule - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_4/sc_map_20011_4
ScenarioFlag1,20,Map_20010,Tule,,Set,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_e_0021
ScenarioFlag1,20,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_e_0018
ScenarioFlag1,20,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_map_20010
ScenarioFlag1,21,Map_20011_9,Tule - Zok's House,MSG_MAP_NAME_11,Set,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_9/sc_e_0022_4
ScenarioFlag1,21,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_map_20010
ScenarioFlag1,21,Map_20011_4,Tule - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_4/sc_map_20011_4
ScenarioFlag1,21,Map_20011_9,Tule - Zok's House,MSG_MAP_NAME_11,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_9/sc_map_20011_9
ScenarioFlag1,21,Map_30021_6,Pirates' Hideout,,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_6/sc_map_30021_6
ScenarioFlag1,21,Map_30050,Torna Canal,,Use,Assets/GameAssets/Serial/Res/Map/Map_30050/Map_30050/sc_map_30050
ScenarioFlag1,22,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_map_20010
ScenarioFlag1,22,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_npc_20010_1
ScenarioFlag1,22,Map_20010,Tule,,Use,Assets/GameAssets/Serial/Res/Map/Map_20010/Map_20010/sc_npc_20010_3
ScenarioFlag1,22,Map_20011_3,Tule - Pub,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_3/sc_map_20011_3
ScenarioFlag1,22,Map_20011_3,Tule - Pub,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_3/sc_npc_20011_3_1
ScenarioFlag1,22,Map_20011_4,Tule - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_4/sc_map_20011_4
ScenarioFlag1,22,Map_20011_6,Tule - Armor Shop,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_6/sc_map_20011_6
ScenarioFlag1,22,Map_20011_7,Tule - Weapon Shop,,Use,Assets/GameAssets/Serial/Res/Map/Map_20011/Map_20011_7/sc_map_20011_7
ScenarioFlag1,22,Map_30021_4,Pirates' Hideout,,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_4/sc_map_30021_4
ScenarioFlag1,22,Map_30030,Pirate Ship - Above Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30030/Map_30030/sc_map_30030
ScenarioFlag1,22,Map_30471_4,Island Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30471/Map_30471_4/sc_e_0305
ScenarioFlag1,23,Map_30030,Pirate Ship - Above Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30030/Map_30030/sc_map_30030
ScenarioFlag1,23,Map_30471_4,Island Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30471/Map_30471_4/sc_e_0305_1
ScenarioFlag1,24,Map_30050,Torna Canal,,Set,Assets/GameAssets/Serial/Res/Map/Map_30050/Map_30050/sc_e_0025_2
ScenarioFlag1,24,Map_30030,Pirate Ship - Above Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30030/Map_30030/sc_map_30030
ScenarioFlag1,24,Map_30050,Torna Canal,,Use,Assets/GameAssets/Serial/Res/Map/Map_30050/Map_30050/sc_map_30050
ScenarioFlag1,25,Map_30060,Ship Graveyard,,Set,Assets/GameAssets/Serial/Res/Map/Map_30060/Map_30060/sc_e_0026_10
ScenarioFlag1,25,Map_30031_1,Pirate Ship - Below Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30031/Map_30031_1/sc_30031_1_to_ship
ScenarioFlag1,25,Map_30031_1,Pirate Ship - Below Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30031/Map_30031_1/sc_map_30031_1
ScenarioFlag1,25,Map_30031_2,Pirate Ship,MSG_ARA_NAME_102,Use,Assets/GameAssets/Serial/Res/Map/Map_30031/Map_30031_2/sc_map_30031_2
ScenarioFlag1,25,Map_30031_3,Pirate Ship,MSG_ARA_NAME_102,Use,Assets/GameAssets/Serial/Res/Map/Map_30031/Map_30031_3/sc_map_30031_3
ScenarioFlag1,25,Map_30050,Torna Canal,,Use,Assets/GameAssets/Serial/Res/Map/Map_30050/Map_30050/sc_map_30050
ScenarioFlag1,26,Map_30061_2,Ship Graveyard - Sunken Shipwreck,Map_30061_2,Set,Assets/GameAssets/Serial/Res/Map/Map_30061/Map_30061_2/sc_e_0027
ScenarioFlag1,26,Map_30061_2,Ship Graveyard - Sunken Shipwreck,Map_30061_2,Use,Assets/GameAssets/Serial/Res/Map/Map_30061/Map_30061_2/sc_map_30061_2
ScenarioFlag1,26,Map_30471_4,Island Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30471/Map_30471_4/sc_e_0305
ScenarioFlag1,27,Map_30061_9,Ship Graveyard - Sunken Shipwreck,,Set,Assets/GameAssets/Serial/Res/Map/Map_30061/Map_30061_9/sc_e_0028
ScenarioFlag1,27,Map_30061_9,Ship Graveyard - Sunken Shipwreck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30061/Map_30061_9/sc_map_30061_9
ScenarioFlag1,27,Map_30471_4,Island Shrine,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30471/Map_30471_4/sc_e_0305_1
ScenarioFlag1,28,Map_30060,Ship Graveyard,,Set,Assets/GameAssets/Serial/Res/Map/Map_30060/Map_30060/sc_e_0029
ScenarioFlag1,28,Map_30060,Ship Graveyard,,Use,Assets/GameAssets/Serial/Res/Map/Map_30060/Map_30060/sc_map_30060
ScenarioFlag1,29,Map_30060,Ship Graveyard,,Set,Assets/GameAssets/Serial/Res/Map/Map_30060/Map_30060/sc_e_0030_1
ScenarioFlag1,29,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_map_20020
ScenarioFlag1,29,Map_30060,Ship Graveyard,,Use,Assets/GameAssets/Serial/Res/Map/Map_30060/Map_30060/sc_map_30060
ScenarioFlag1,30,Map_20020,Carwen,,Set,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0031
ScenarioFlag1,30,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0031
ScenarioFlag1,30,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0355
ScenarioFlag1,30,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0356
ScenarioFlag1,30,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0357
ScenarioFlag1,30,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0358
ScenarioFlag1,30,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_map_20020
ScenarioFlag1,30,Map_20021_7,Carwen - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20021/Map_20021_7/sc_map_20021_7
ScenarioFlag1,31,Map_20021_7,Carwen - Pub 2F,,Set,Assets/GameAssets/Serial/Res/Map/Map_20021/Map_20021_7/sc_e_0032
ScenarioFlag1,31,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0355
ScenarioFlag1,31,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0356
ScenarioFlag1,31,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0357
ScenarioFlag1,31,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0358
ScenarioFlag1,31,Map_20021_7,Carwen - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20021/Map_20021_7/sc_e_0032
ScenarioFlag1,32,Map_30100,North Mountain,MSG_ARA_NAME_95,Set,Assets/GameAssets/Serial/Res/Map/Map_30100/Map_30100/sc_e_0033_1
ScenarioFlag1,32,Map_30100,North Mountain,MSG_ARA_NAME_95,Use,Assets/GameAssets/Serial/Res/Map/Map_30100/Map_30100/sc_map_30100
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0031
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0355
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0356
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0357
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_e_0358
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_map_20020
ScenarioFlag1,33,Map_20020,Carwen,,Use,Assets/GameAssets/Serial/Res/Map/Map_20020/Map_20020/sc_npc_20020_5
ScenarioFlag1,33,Map_20021_7,Carwen - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20021/Map_20021_7/sc_e_0032
ScenarioFlag1,33,Map_20021_7,Carwen - Pub 2F,,Use,Assets/GameAssets/Serial/Res/Map/Map_20021/Map_20021_7/sc_map_20021_7
ScenarioFlag1,33,Map_30020,Cave - Entrance,MSG_ARA_NAME_110,Use,Assets/GameAssets/Serial/Res/Map/Map_30020/Map_30020/sc_e_0202
ScenarioFlag1,33,Map_30110,North Mountain - Mountaintop,,Use,Assets/GameAssets/Serial/Res/Map/Map_30110/Map_30110/sc_map_30110
ScenarioFlag1,34,Map_30020,Cave - Entrance,MSG_ARA_NAME_110,Set,Assets/GameAssets/Serial/Res/Map/Map_30020/Map_30020/sc_e_0035
ScenarioFlag1,34,Map_30020,Cave - Entrance,MSG_ARA_NAME_110,Use,Assets/GameAssets/Serial/Res/Map/Map_30020/Map_30020/sc_map_30020
ScenarioFlag1,35,Map_30021_6,Pirates' Hideout,,Set,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_6/sc_e_0036
ScenarioFlag1,35,Map_30021_6,Pirates' Hideout,,Use,Assets/GameAssets/Serial/Res/Map/Map_30021/Map_30021_6/sc_map_30021_6
ScenarioFlag1,36,Map_20051_9,Castle Tycoon,MSG_ARA_NAME_113,Set,Assets/GameAssets/Serial/Res/Map/Map_20051/Map_20051_9/sc_e_0037_3
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_20050_to_20051_1
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_map_20050
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_npc_20050_1
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_npc_20050_3
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_npc_20050_4
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_npc_20050_5
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_npc_20050_6
ScenarioFlag1,36,Map_20050,Castle Tycoon,,Use,Assets/GameAssets/Serial/Res/Map/Map_20050/Map_20050/sc_world_3_to_20050_1
ScenarioFlag1,37,Map_20041_2,Castle Walse - Throne Room,MSG_ARA_NAME_11,Set,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_2/sc_e_0038_3
ScenarioFlag1,37,Map_20040,Castle Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20040/Map_20040/sc_npc_20040_1
ScenarioFlag1,37,Map_20040,Castle Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20040/Map_20040/sc_npc_20040_2
ScenarioFlag1,37,Map_20041_1,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_1/sc_map_20041_1
ScenarioFlag1,37,Map_20041_1,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_1/sc_npc_20041_1_1
ScenarioFlag1,37,Map_20041_1,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_1/sc_npc_20041_1_2
ScenarioFlag1,37,Map_20041_2,Castle Walse - Throne Room,MSG_ARA_NAME_11,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_2/sc_map_20041_2
ScenarioFlag1,37,Map_30121_1,Tower of Walse,MSG_ARA_NAME_24,Use,Assets/GameAssets/Serial/Res/Map/Map_30121/Map_30121_1/sc_map_30121_1
ScenarioFlag1,37,Map_30121_10,Tower of Walse - Water Crystal,MSG_ARA_NAME_80,Use,Assets/GameAssets/Serial/Res/Map/Map_30121/Map_30121_10/sc_map_30121_10
ScenarioFlag1,38,Map_30121_10,Tower of Walse - Water Crystal,MSG_ARA_NAME_80,Set,Assets/GameAssets/Serial/Res/Map/Map_30121/Map_30121_10/sc_e_0039_1
ScenarioFlag1,38,Map_20030,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20030/Map_20030/sc_npc_20030_1
ScenarioFlag1,38,Map_20030,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20030/Map_20030/sc_npc_20030_2
ScenarioFlag1,38,Map_20030,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20030/Map_20030/sc_npc_20030_3
ScenarioFlag1,38,Map_20030,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20030/Map_20030/sc_npc_20030_4
ScenarioFlag1,38,Map_20030,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20030/Map_20030/sc_npc_20030_5
ScenarioFlag1,38,Map_20030,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20030/Map_20030/sc_npc_20030_6
ScenarioFlag1,38,Map_20031_1,Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20031/Map_20031_1/sc_npc_20031_1
ScenarioFlag1,38,Map_20040,Castle Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20040/Map_20040/sc_npc_20040_1
ScenarioFlag1,38,Map_20040,Castle Walse,,Use,Assets/GameAssets/Serial/Res/Map/Map_20040/Map_20040/sc_npc_20040_2
ScenarioFlag1,38,Map_20041_1,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_1/sc_npc_20041_1_1
ScenarioFlag1,38,Map_20041_1,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_1/sc_npc_20041_1_2
ScenarioFlag1,38,Map_20041_2,Castle Walse - Throne Room,MSG_ARA_NAME_11,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_2/sc_map_20041_2
ScenarioFlag1,38,Map_20041_3,Castle Walse - King's Chamber,MSG_ARA_NAME_75,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_3/sc_map_20041_3
ScenarioFlag1,38,Map_20041_4,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_4/sc_map_20041_4
ScenarioFlag1,38,Map_20041_4,Castle Walse - 2F,MSG_ARA_NAME_25,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_4/sc_npc_20041_4_1
ScenarioFlag1,38,Map_30121_10,Tower of Walse - Water Crystal,MSG_ARA_NAME_80,Use,Assets/GameAssets/Serial/Res/Map/Map_30121/Map_30121_10/sc_map_30121_10
ScenarioFlag1,38,Map_30130,Walse Meteorite,,Use,Assets/GameAssets/Serial/Res/Map/Map_30130/Map_30130/sc_map_30130
ScenarioFlag1,39,Map_20041_3,Castle Walse - King's Chamber,MSG_ARA_NAME_75,Set,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_3/sc_e_0040
ScenarioFlag1,39,Map_20041_3,Castle Walse - King's Chamber,MSG_ARA_NAME_75,Use,Assets/GameAssets/Serial/Res/Map/Map_20041/Map_20041_3/sc_e_0040
ScenarioFlag1,39,Map_30131_2,Walse Meteorite - Interior,,Use,Assets/GameAssets/Serial/Res/Map/Map_30131/Map_30131_2/sc_map_30131_2
ScenarioFlag1,40,Map_30141_2,Karnak Meteorite - Interior,,Set,Assets/GameAssets/Serial/Res/Map/Map_30141/Map_30141_2/sc_e_0041_2
ScenarioFlag1,40,Map_30131_2,Walse Meteorite - Interior,,Use,Assets/GameAssets/Serial/Res/Map/Map_30131/Map_30131_2/sc_e_0041
ScenarioFlag1,41,Map_20071_6,Karnak Castle - B4,MSG_ARA_NAME_19,Set,Assets/GameAssets/Serial/Res/Map/Map_20071/Map_20071_6/sc_e_0042_1
ScenarioFlag1,41,Map_20060,Karnak,,Use,Assets/GameAssets/Serial/Res/Map/Map_20060/Map_20060/sc_map_20060
ScenarioFlag1,41,Map_20060,Karnak,,Use,Assets/GameAssets/Serial/Res/Map/Map_20060/Map_20060/sc_npc_20060_3
ScenarioFlag1,41,Map_20061_1,Karnak - Equipment Shop,,Use,Assets/GameAssets/Serial/Res/Map/Map_20061/Map_20061_1/sc_map_20061_1
ScenarioFlag1,42,Map_20071_6,Karnak Castle - B4,MSG_ARA_NAME_19,Set,Assets/GameAssets/Serial/Res/Map/Map_20071/Map_20071_6/sc_e_0043_1
ScenarioFlag1,42,Map_20070,Karnak Castle,,Use,Assets/GameAssets/Serial/Res/Map/Map_20070/Map_20070/sc_map_20070
ScenarioFlag1,42,Map_20071_6,Karnak Castle - B4,MSG_ARA_NAME_19,Use,Assets/GameAssets/Serial/Res/Map/Map_20071/Map_20071_6/sc_map_20071_6
ScenarioFlag1,43,Map_20070,Karnak Castle,,Set,Assets/GameAssets/Serial/Res/Map/Map_20070/Map_20070/sc_e_0044
ScenarioFlag1,43,Map_20070,Karnak Castle,,Use,Assets/GameAssets/Serial/Res/Map/Map_20070/Map_20070/sc_map_20070
ScenarioFlag1,43,Map_30150,Fire-Powered Ship - Above Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30150/Map_30150/sc_map_30150
ScenarioFlag1,44,Map_30151_1,Fire-Powered Ship - Below Deck,MSG_ARA_NAME_102,Set,Assets/GameAssets/Serial/Res/Map/Map_30151/Map_30151_1/sc_e_0045_1
ScenarioFlag1,44,Map_30150,Fire-Powered Ship - Above Deck,,Use,Assets/GameAssets/Serial/Res/Map/Map_30150/Map_30150/sc_map_30150
ScenarioFlag1,45,Map_30151_21,Fire-Powered Ship - Engine Room,MSG_ARA_NAME_107,Set,Assets/GameAssets/Serial/Res/Map/Map_30151/Map_30151_21/sc_e_0046_1
ScenarioFlag1,45,Map_30151_21,Fire-Powered Ship - Engine Room,MSG_ARA_NAME_107,Use,Assets/GameAssets/Serial/Res/Map/Map_30151/Map_30151_21/sc_map_30151_21
ScenarioFlag1,46,Map_20071_7,Karnak Castle - B5,MSG_ARA_NAME_20,Set,Assets/GameAssets/Serial/Res/Map/Map_20071/Map_20071_7/sc_e_0047_4
ScenarioFlag1,46,Map_20061_1,Karnak - Equipment Shop,,Use,Assets/GameAssets/Serial/Res/Map/Map_20061/Map_20061_1/sc_map_20061_1
ScenarioFlag1,46,Map_20070,Karnak Castle,,Use,Assets/GameAssets/Serial/Res/Map/Map_20070/Map_20070/sc_map_20070
